ref,title,obligation_snippet
Art.12.1,"Transparent information, communication and modalities for the exercise of the rights of the data subject — paragraph 1",The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subj
Art.12.6,"Transparent information, communication and modalities for the exercise of the rights of the data subject — paragraph 6","Where the controller has reasonable doubts concerning the identity of the natural person making the request, the controller may request the provision of additional information necessary to confirm the"
Art.23,Restrictions,"Union or Member State law may restrict by way of a legislative measure the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5, when such a restr"
Art.23.1,Restrictions — paragraph 1,"Union or Member State law may restrict by way of a legislative measure the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5, when such a restr"
Art.26,Joint controllers,"Where two or more controllers jointly determine the purposes and means of processing, they shall be joint controllers. They shall in a transparent manner determine their respective responsibilities fo"
Art.26.1,Joint controllers — paragraph 1,"Where two or more controllers jointly determine the purposes and means of processing, they shall be joint controllers. They shall in a transparent manner determine their respective responsibilities fo"
Art.26.2,Joint controllers — paragraph 2,The arrangement referred to in paragraph 1 shall duly reflect the respective roles and relationships of the joint controllers vis-à-vis the data subjects. The essence of the arrangement shall be made 
Art.27.4,Representatives of controllers or processors not established in the Union — paragraph 4,The representative shall be mandated by the controller or processor to be addressed in addition to or instead of the controller or the processor by supervisory authorities and data subjects on all iss
Art.29,Processing under the authority of the controller or processor,"The processor and any person acting under the authority of the controller or of the processor who has access to personal data shall not process those data except on instructions from the controller, u"
Art.29.1,Processing under the authority of the controller or processor — paragraph 1,"The processor and any person acting under the authority of the controller or of the processor who has access to personal data shall not process those data except on instructions from the controller, u"
Art.38,Position of the data protection officer,The controller or processor shall support the data protection officer in performing the tasks referred to in Article 39 by providing resources necessary to carry out those tasks and access to personal
Art.38.2,Position of the data protection officer — paragraph 2,The controller or processor shall support the data protection officer in performing the tasks referred to in Article 39 by providing resources necessary to carry out those tasks and access to personal
Art.38.3,Position of the data protection officer — paragraph 3,The controller and processor shall ensure that the data protection officer does not receive any instructions regarding the exercise of those tasks. He or she shall not be dismissed or penalised for pe
Art.39,Tasks of the data protection officer,The data protection officer shall have at least the following tasks: (a) to inform and advise the controller or the processor and the employees of their obligations pursuant to this Regulation; (b) to
Art.39.1,Tasks of the data protection officer — paragraph 1,The data protection officer shall have at least the following tasks: (a) to inform and advise the controller or the processor and the employees of their obligations pursuant to this Regulation; (b) to
Art.40,Codes of conduct,"The Member States, the supervisory authorities, the Board and the Commission shall encourage the drawing up of codes of conduct intended to contribute to the proper application of this Regulation, tak"
Art.40.1,Codes of conduct — paragraph 1,"The Member States, the supervisory authorities, the Board and the Commission shall encourage the drawing up of codes of conduct intended to contribute to the proper application of this Regulation, tak"
Art.8.2,Conditions applicable to child's consent in relation to information society services — paragraph 2,"The controller shall make reasonable efforts to verify in such cases that consent is given or authorised by the holder of parental responsibility over the child, taking into consideration available te"
Art.92,Exercise of the delegation,The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article. The power to adopt delegated acts referred to in this Regulation shall be conferre
Art.92.1,Exercise of the delegation — paragraph 1,The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article. The power to adopt delegated acts referred to in this Regulation shall be conferre
Art.93,Committee procedure,The Commission shall be assisted by a committee. That committee shall be a committee within the meaning of Regulation (EU) No 182/2011.
Art.93.1,Committee procedure — paragraph 1,The Commission shall be assisted by a committee. That committee shall be a committee within the meaning of Regulation (EU) No 182/2011.
Art.94,Repeal of Directive 95/46/EC,Directive 95/46/EC is repealed with effect from 25 May 2018. References to the repealed Directive shall be construed as references to this Regulation.
Art.94.1,Repeal of Directive 95/46/EC — paragraph 1,Directive 95/46/EC is repealed with effect from 25 May 2018. References to the repealed Directive shall be construed as references to this Regulation.
Art.96,Relationship with previously concluded Agreements,"International agreements involving the transfer of personal data to third countries or international organisations which were concluded by Member States prior to 24 May 2016, and which comply with Uni"
Art.96.1,Relationship with previously concluded Agreements — paragraph 1,"International agreements involving the transfer of personal data to third countries or international organisations which were concluded by Member States prior to 24 May 2016, and which comply with Uni"
Art.97,Commission reports,"By 25 May 2020 and every four years thereafter, the Commission shall submit a report on the evaluation and review of this Regulation to the European Parliament and to the Council. The reports shall be"
Art.97.1,Commission reports — paragraph 1,"By 25 May 2020 and every four years thereafter, the Commission shall submit a report on the evaluation and review of this Regulation to the European Parliament and to the Council. The reports shall be"
Art.98,Review of other Union legal acts on data protection,"The Commission shall, if appropriate, submit legislative proposals with a view to amending other Union legal acts on the protection of personal data, in order to ensure uniform and consistent protecti"
Art.98.1,Review of other Union legal acts on data protection — paragraph 1,"The Commission shall, if appropriate, submit legislative proposals with a view to amending other Union legal acts on the protection of personal data, in order to ensure uniform and consistent protecti"
Art.99.2,Entry into force and application — paragraph 2,It shall apply from 25 May 2018.
